date,state,place,latitude,longitude,depth_km,magnitude,risk_label
2004-04-04,Assam,Delhi NCR,22.452,93.0336,98.58,3.0,0
2000-01-01,Himachal Pradesh,Bangalore Region,17.6322,97.297,86.01,6.3,1
2009-07-03,Uttarakhand,Andaman Sea,18.1047,82.7372,18.34,3.4,0
2006-03-29,Rajasthan,Himalayan Belt,18.5814,81.8512,113.65,3.7,0
2003-09-23,Gujarat,Northeast India,28.2269,81.4776,15.89,3.3,0
2009-07-09,Himachal Pradesh,Koyna Region,13.6146,80.1098,29.95,3.2,0
2014-10-07,Andaman and Nicobar Islands,Delhi NCR,34.8327,95.1663,95.06,8.4,1
2014-02-14,Maharashtra,Bhuj Region,23.6579,79.0529,20.01,3.8,0
2001-12-08,Manipur,Northeast India,15.2407,79.7216,55.3,7.7,1
2015-03-09,Uttarakhand,Northeast India,16.5485,72.9582,100.7,5.9,1
2008-12-06,Sikkim,Himalayan Belt,15.6357,92.8624,43.59,4.3,0
2019-06-04,Gujarat,Himalayan Belt,15.8976,90.0348,110.21,6.9,1
2017-02-05,Karnataka,Himalayan Belt,32.041,73.5387,40.7,4.2,0
2008-11-15,Tamil Nadu,Bangalore Region,25.7266,96.7038,62.91,6.4,1
2012-12-19,Maharashtra,Delhi NCR,21.0984,70.3376,77.83,5.8,1
2013-07-25,Andaman and Nicobar Islands,Himalayan Belt,25.2333,97.3695,23.53,8.5,1
2024-02-02,Meghalaya,Bhuj Region,12.7603,69.9848,60.62,5.2,0
2017-08-18,Meghalaya,Bangalore Region,14.3994,88.8804,110.66,4.2,0
2006-10-13,Rajasthan,Bhuj Region,16.5213,71.7722,80.61,4.2,0
2013-01-14,Meghalaya,Bhuj Region,10.7246,68.3793,42.09,7.1,1
2018-05-31,Karnataka,Nicobar Islands,25.4826,86.7331,111.62,6.8,1
2004-10-31,Manipur,Northeast India,27.4966,94.3654,118.64,7.5,1
2020-06-06,Meghalaya,Andaman Sea,14.2057,91.7793,29.35,4.0,0
2018-09-05,Telangana,Andaman Sea,15.4579,86.8365,69.13,7.9,1
2004-04-06,Tamil Nadu,Bangalore Region,11.6286,76.6101,102.47,4.2,0
2006-06-09,Gujarat,Andaman Sea,17.3893,69.3629,65.53,4.0,0
2023-12-27,Tamil Nadu,Bhuj Region,16.8191,95.4454,68.96,8.2,1
2001-08-25,Uttarakhand,Nicobar Islands,17.7462,78.7998,119.84,3.2,0
2006-11-09,Uttarakhand,Koyna Region,32.5224,89.6015,40.17,3.9,0
2000-08-31,Manipur,Bhuj Region,20.8278,68.4274,48.41,4.3,0
2005-01-08,Rajasthan,Nicobar Islands,23.55,90.3359,92.5,3.5,0
2005-01-16,Telangana,Delhi NCR,19.3922,89.5078,55.49,8.0,1
2021-09-03,Andhra Pradesh,Northeast India,24.2295,80.4289,107.47,4.4,0
2009-08-18,Karnataka,Nicobar Islands,13.5217,69.7938,20.9,4.3,0
2005-10-19,Manipur,Bhuj Region,24.0188,80.4238,25.88,7.3,1
2007-07-17,Gujarat,Andaman Sea,18.5064,85.048,60.43,3.9,0
2006-09-19,Karnataka,Delhi NCR,26.4407,85.0399,119.99,5.3,0
2008-10-10,Maharashtra,Himalayan Belt,7.0719,73.5271,20.95,5.6,1
2002-09-03,Tamil Nadu,Nicobar Islands,16.3553,78.3339,27.07,3.0,0
2021-03-11,Manipur,Andaman Sea,11.6025,91.8471,87.09,3.6,0
2012-11-11,Meghalaya,Andaman Sea,17.5714,70.1957,45.67,7.1,1
2006-10-31,Meghalaya,Bangalore Region,12.4941,93.5477,18.65,3.2,0
2003-01-15,Tamil Nadu,Himalayan Belt,16.0479,83.3789,23.31,4.6,0
2023-08-08,Manipur,Northeast India,13.2768,87.8229,88.0,4.3,0
2021-01-23,Maharashtra,Himalayan Belt,13.1581,80.1414,107.65,6.1,1
2018-05-27,Karnataka,Delhi NCR,14.6817,94.1936,117.63,6.6,1
2019-09-30,Kerala,Koyna Region,6.8525,73.8454,38.38,8.0,1
2014-12-16,Karnataka,Bangalore Region,9.4784,72.0779,69.04,3.4,0
2014-01-28,Sikkim,Nicobar Islands,29.9345,83.3603,21.12,3.1,0
2012-07-10,Meghalaya,Delhi NCR,34.7145,84.7739,93.53,6.9,1
2012-04-01,Tamil Nadu,Bangalore Region,12.4094,94.0652,53.26,7.1,1
2001-01-06,Karnataka,Andaman Sea,16.0291,92.6173,75.16,8.3,1
2002-04-23,Rajasthan,Koyna Region,24.6712,85.1739,116.51,7.1,1
2012-12-03,Uttarakhand,Nicobar Islands,33.4782,96.9832,54.29,3.6,0
2008-01-27,Karnataka,Andaman Sea,24.0828,71.0191,67.51,3.0,0
2016-01-13,Nagaland,Koyna Region,31.6704,71.8543,16.68,7.2,1
2008-01-14,Telangana,Andaman Sea,28.8585,74.2238,102.46,6.1,1
2021-10-10,Uttarakhand,Northeast India,14.0949,73.7104,92.34,6.6,1
2015-09-02,Manipur,Bhuj Region,31.5247,75.8372,23.29,3.5,0
2024-03-02,Maharashtra,Koyna Region,18.752,90.2419,105.18,5.9,1
2011-09-14,Sikkim,Bangalore Region,26.9696,78.8852,23.14,6.8,1
2017-11-01,Assam,Koyna Region,33.3417,88.5469,78.75,4.2,0
2000-09-15,Tamil Nadu,Andaman Sea,14.578,73.0898,68.57,4.8,0
2006-12-02,Sikkim,Northeast India,21.8867,82.8295,97.67,3.7,0
2019-05-30,Kerala,Bangalore Region,33.191,71.7271,73.12,7.2,1
2012-07-24,Sikkim,Nicobar Islands,25.3981,78.4756,36.01,6.2,1
2017-07-07,Rajasthan,Bangalore Region,28.5769,72.2162,113.53,5.7,1
2005-04-03,Kerala,Bangalore Region,18.7809,86.5206,43.87,7.6,1
2006-04-11,Gujarat,Himalayan Belt,14.1775,73.3472,86.73,4.2,0
2022-12-15,Sikkim,Bangalore Region,25.3139,77.9182,52.06,7.6,1
2004-07-16,Gujarat,Northeast India,24.1822,68.994,5.37,5.8,1
2006-06-19,Maharashtra,Andaman Sea,25.4836,82.8596,95.84,5.5,1
2016-06-25,Meghalaya,Bhuj Region,26.4315,86.2081,58.1,7.0,1
2006-08-10,Karnataka,Delhi NCR,12.272,81.4423,52.35,3.8,0
2023-08-26,Uttarakhand,Northeast India,25.616,97.1377,44.86,3.2,0
2016-08-31,Manipur,Bangalore Region,29.6515,91.5234,45.12,6.7,1
2011-02-18,Maharashtra,Himalayan Belt,28.3165,86.0187,104.62,8.2,1
2023-10-19,Assam,Koyna Region,18.0552,85.1478,9.59,4.4,0
2010-03-01,Maharashtra,Himalayan Belt,19.7928,79.2392,40.15,6.8,1
2000-08-08,Himachal Pradesh,Delhi NCR,10.5105,88.6113,46.86,7.5,1
2007-08-12,Andhra Pradesh,Delhi NCR,25.22,97.3918,60.73,4.3,0
2012-11-13,Andhra Pradesh,Andaman Sea,21.6886,95.3018,76.87,7.4,1
2009-05-19,Gujarat,Koyna Region,24.9477,74.0926,72.03,6.3,1
2018-08-26,Gujarat,Bhuj Region,16.9267,82.9668,7.97,3.7,0
2011-11-07,Kerala,Andaman Sea,34.1201,76.6455,23.06,6.7,1
2022-07-27,Karnataka,Delhi NCR,35.7805,90.337,9.13,4.0,0
2023-11-11,Himachal Pradesh,Bangalore Region,20.2288,97.1194,76.22,4.3,0
2011-10-15,Andhra Pradesh,Northeast India,24.0502,68.8369,54.58,7.0,1
2016-04-04,Kerala,Bhuj Region,20.7582,95.8202,12.69,3.8,0
2024-07-28,Himachal Pradesh,Delhi NCR,6.0043,81.0423,24.09,4.1,0
2000-10-03,Uttarakhand,Northeast India,31.7673,79.3738,19.52,6.5,1
2010-07-07,Karnataka,Delhi NCR,25.8779,94.7561,91.72,8.3,1
2008-08-06,Maharashtra,Delhi NCR,20.2428,78.7832,24.65,6.6,1
2019-09-08,Sikkim,Andaman Sea,34.5066,69.9898,11.18,5.5,1
2017-05-20,Andaman and Nicobar Islands,Northeast India,25.8858,80.7423,26.94,8.1,1
2016-02-07,Nagaland,Koyna Region,6.5547,72.9474,48.86,6.5,1
